Step,Rule Description,Final,Type,Transaction code,Auth. Object,Auth. Field,Auth. Value,
10,GA Developer Access,,DUMMY,#DEV#,,,,
100,GB Advanced Use,,AUTH,,/ECRS/POIA,ACTVT,01,
100,GB Advanced Use,,AUTH,,/ECRS/POIA,ACTVT,02,
100,GB Advanced Use,,AUTH,,/ECRS/POIA,ACTVT,06,
100,GB Advanced Use,,AUTH,,/ECRS/RPHD,ACTVT,01,
100,GB Advanced Use,,AUTH,,/ECRS/RPHD,ACTVT,02,
100,GB Advanced Use,,AUTH,,/ECRS/RPHD,ACTVT,06,
100,GB Advanced Use,,AUTH,,/ECRS/RPHD,ACTVT,43,
100,GB Advanced Use,,AUTH,,/ECRS/RPHD,ACTVT,74,
100,GB Advanced Use,,AUTH,,/ECRS/RPHD,ACTVT,DL,
100,GB Advanced Use,,AUTH,,/IWXBE/USR,ACTVT,01,
100,GB Advanced Use,,AUTH,,/IWXBE/USR,ACTVT,02,
100,GB Advanced Use,,AUTH,,/IWXBE/USR,ACTVT,06,
100,GB Advanced Use,,AUTH,,/SMB/LC_PR,ACTVT,02,
100,GB Advanced Use,,AUTH,,/SRMSMC/BO,ACTVT,05,
100,GB Advanced Use,,AUTH,,/SRMSMC/BO,ACTVT,06,
100,GB Advanced Use,,AUTH,,/SRMSMC/BO,ACTVT,24,
100,GB Advanced Use,,AUTH,,/SRMSMC/BO,ACTVT,37,
100,GB Advanced Use,,AUTH,,/SRMSMC/BO,ACTVT,43,
100,GB Advanced Use,,AUTH,,A_CFG_CMP,ACTVT,01,
100,GB Advanced Use,,AUTH,,A_CFG_CMP,ACTVT,02,
100,GB Advanced Use,,AUTH,,A_CFG_CMP,ACTVT,05,
100,GB Advanced Use,,AUTH,,A_CFG_CMP,ACTVT,06,
100,GB Advanced Use,,AUTH,,A_UO,ACTVT,01,
100,GB Advanced Use,,AUTH,,A_UO,ACTVT,02,
100,GB Advanced Use,,AUTH,,A_UO,ACTVT,06,
100,GB Advanced Use,,AUTH,,BEH_SUBSCR,ACTVT,01,
100,GB Advanced Use,,AUTH,,BEH_SUBSCR,ACTVT,02,
100,GB Advanced Use,,AUTH,,BEH_SUBSCR,ACTVT,06,
100,GB Advanced Use,,AUTH,,C_DT_CNV,ACTVT,02,
100,GB Advanced Use,,AUTH,,C_DT_FND,ACTVT,02,
100,GB Advanced Use,,AUTH,,C_PSCVP_DB,ACTVT,02,
100,GB Advanced Use,,AUTH,,C_SIT2INST,ACTVT,06,
100,GB Advanced Use,,AUTH,,C_SIT2TYPE,ACTVT,01,
100,GB Advanced Use,,AUTH,,C_SIT2TYPE,ACTVT,02,
100,GB Advanced Use,,AUTH,,C_SIT2TYPE,ACTVT,06,
100,GB Advanced Use,,AUTH,,C_SITNACT,ACTVT,06,
100,GB Advanced Use,,AUTH,,C_SITNDEF,ACTVT,06,
100,GB Advanced Use,,AUTH,,CIM_ADMIN,ACTVT,01,
100,GB Advanced Use,,AUTH,,CM_CON,ACTVT,60,
100,GB Advanced Use,,AUTH,,CRM_CONFIG,ACTVT,02,
100,GB Advanced Use,,AUTH,,CRM_SE_ENT,ACTVT,02,
100,GB Advanced Use,,AUTH,,DMEX_TREE,ACTVT,34,
100,GB Advanced Use,,AUTH,,DMEX_TREE,ACTVT,71,
100,GB Advanced Use,,AUTH,,E_CS_ADM,ACTVT,06,
100,GB Advanced Use,,AUTH,,E_CS_BUNIT,ACTVT,01,
100,GB Advanced Use,,AUTH,,E_CS_BUNIT,ACTVT,02,
100,GB Advanced Use,,AUTH,,E_CS_BUNIT,ACTVT,06,
100,GB Advanced Use,,AUTH,,E_CS_CACTT,ACTVT,02,
100,GB Advanced Use,,AUTH,,E_CS_CACTT,ACTVT,05,
100,GB Advanced Use,,AUTH,,E_CS_CACTT,ACTVT,16,
100,GB Advanced Use,,AUTH,,E_CS_CACTT,ACTVT,95,
100,GB Advanced Use,,AUTH,,E_CS_CONGR,ACTVT,01,
100,GB Advanced Use,,AUTH,,E_CS_CONGR,ACTVT,02,
100,GB Advanced Use,,AUTH,,E_CS_CONGR,ACTVT,06,
100,GB Advanced Use,,AUTH,,E_CS_DIMEN,ACTVT,01,
100,GB Advanced Use,,AUTH,,E_CS_DIMEN,ACTVT,02,
100,GB Advanced Use,,AUTH,,E_CS_DIMEN,ACTVT,06,
100,GB Advanced Use,,AUTH,,E_CS_DIMEN,ACTVT,16,
100,GB Advanced Use,,AUTH,,E_CS_ITCLG,ACTVT,01,
100,GB Advanced Use,,AUTH,,E_CS_ITCLG,ACTVT,02,
100,GB Advanced Use,,AUTH,,E_CS_RVERS,ACTVT,02,
100,GB Advanced Use,,AUTH,,E_CS_RVERS,ACTVT,16,
100,GB Advanced Use,,AUTH,,EI_VIEW_BL,ACTVT,01,
100,GB Advanced Use,,AUTH,,EI_VIEW_BL,ACTVT,06,
100,GB Advanced Use,,AUTH,,EI_VIEW_CR,ACTVT,01,
100,GB Advanced Use,,AUTH,,EI_VIEW_CR,ACTVT,02,
100,GB Advanced Use,,AUTH,,EI_VIEW_CR,ACTVT,06,
100,GB Advanced Use,,AUTH,,F_ACES_DST,ACTVT,01,
100,GB Advanced Use,,AUTH,,F_ACES_DST,ACTVT,02,
100,GB Advanced Use,,AUTH,,F_ACES_DST,ACTVT,06,
100,GB Advanced Use,,AUTH,,F_ACES_PER,ACTVT,02,
100,GB Advanced Use,,AUTH,,F_ACES_PER,ACTVT,30,
100,GB Advanced Use,,AUTH,,F_ACES_PER,ACTVT,39,
100,GB Advanced Use,,AUTH,,F_ACES_PER,ACTVT,F1,
100,GB Advanced Use,,AUTH,,F_ACES_PER,ACTVT,UL,
100,GB Advanced Use,,AUTH,,F_AVIK_AVA,ACTVT,02,
100,GB Advanced Use,,AUTH,,F_AVIK_BUK,ACTVT,01,
100,GB Advanced Use,,AUTH,,F_AVIK_BUK,ACTVT,02,
100,GB Advanced Use,,AUTH,,F_AVIK_BUK,ACTVT,06,
100,GB Advanced Use,,AUTH,,F_BKPF_BEK,ACTVT,06,
100,GB Advanced Use,,AUTH,,F_BKPF_BES,ACTVT,06,
100,GB Advanced Use,,AUTH,,F_BKPF_BLA,ACTVT,06,
